             Time(y)	            SOM4(mM)	
  0.000000000000e+00	  0.000000000000e+00	
  1.000000000000e+00	  9.641616127276e-01	
  2.000000000000e+00	  9.296076154575e-01	
  3.000000000000e+00	  8.962919777234e-01	
  4.000000000000e+00	  8.641703187167e-01	
  5.000000000000e+00	  8.331998481652e-01	
  6.000000000000e+00	  8.033393093314e-01	
  7.000000000000e+00	  7.745489240525e-01	
  8.000000000000e+00	  7.467903397509e-01	
  9.000000000000e+00	  7.200265783436e-01	
  1.000000000000e+01	  6.942219869826e-01	
  1.100000000000e+01	  6.693421905601e-01	
  1.200000000000e+01	  6.453540459171e-01	
  1.300000000000e+01	  6.222255976917e-01	
  1.400000000000e+01	  5.999260357509e-01	
  1.500000000000e+01	  5.784256541469e-01	
  1.600000000000e+01	  5.576958115453e-01	
  1.700000000000e+01	  5.377088930710e-01	
  1.800000000000e+01	  5.184382735213e-01	
  1.900000000000e+01	  4.998582818981e-01	
  2.000000000000e+01	  4.819441672101e-01	
  2.100000000000e+01	  4.646720655020e-01	
  2.200000000000e+01	  4.480189680639e-01	
  2.300000000000e+01	  4.319626907811e-01	
  2.400000000000e+01	  4.164818445817e-01	
  2.500000000000e+01	  4.015558069437e-01	
  2.600000000000e+01	  3.871646944230e-01	
  2.700000000000e+01	  3.732893361661e-01	
  2.800000000000e+01	  3.599112483719e-01	
  2.900000000000e+01	  3.470126096691e-01	
  3.000000000000e+01	  3.345762373754e-01	
  3.100000000000e+01	  3.225855646083e-01	
  3.200000000000e+01	  3.110246182154e-01	
  3.300000000000e+01	  2.998779974966e-01	
  3.400000000000e+01	  2.891308536878e-01	
  3.500000000000e+01	  2.787688701810e-01	
  3.600000000000e+01	  2.687782434520e-01	
  3.700000000000e+01	  2.591456646728e-01	
  3.800000000000e+01	  2.498583019823e-01	
  3.900000000000e+01	  2.409037833927e-01	
  4.000000000000e+01	  2.322701803081e-01	
  4.100000000000e+01	  2.239459916344e-01	
  4.200000000000e+01	  2.159201284582e-01	
  4.300000000000e+01	  2.081818992746e-01	
  4.400000000000e+01	  2.007209957454e-01	
  4.500000000000e+01	  1.935274789662e-01	
  4.600000000000e+01	  1.865917662272e-01	
  4.700000000000e+01	  1.799046182473e-01	
  4.800000000000e+01	  1.734571268665e-01	
  4.900000000000e+01	  1.672407031787e-01	
  5.000000000000e+01	  1.612470660905e-01	
  5.100000000000e+01	  1.554682312895e-01	
  5.200000000000e+01	  1.498965006080e-01	
  5.300000000000e+01	  1.445244517685e-01	
  5.400000000000e+01	  1.393449284957e-01	
  5.500000000000e+01	  1.343510309839e-01	
  5.600000000000e+01	  1.295361067051e-01	
  5.700000000000e+01	  1.248937415472e-01	
  5.800000000000e+01	  1.204177512698e-01	
  5.900000000000e+01	  1.161021732654e-01	
  6.000000000000e+01	  1.119412586167e-01	
  6.100000000000e+01	  1.079294644387e-01	
  6.200000000000e+01	  1.040614464941e-01	
  6.300000000000e+01	  1.003320520745e-01	
  6.400000000000e+01	  9.673631313650e-02	
  6.500000000000e+01	  9.326943968304e-02	
  6.600000000000e+01	  8.992681338304e-02	
  6.700000000000e+01	  8.670398141888e-02	
  6.800000000000e+01	  8.359665055476e-02	
  6.900000000000e+01	  8.060068141754e-02	
  7.000000000000e+01	  7.771208298252e-02	
  7.100000000000e+01	  7.492700725688e-02	
  7.200000000000e+01	  7.224174415368e-02	
  7.300000000000e+01	  6.965271654950e-02	
  7.400000000000e+01	  6.715647551926e-02	
  7.500000000000e+01	  6.474969574179e-02	
  7.600000000000e+01	  6.242917107006e-02	
  7.700000000000e+01	  6.019181026019e-02	
  7.800000000000e+01	  5.803463285350e-02	
  7.900000000000e+01	  5.595476520612e-02	
  8.000000000000e+01	  5.394943666096e-02	
  8.100000000000e+01	  5.201597585681e-02	
  8.200000000000e+01	  5.015180716974e-02	
  8.300000000000e+01	  4.835444728201e-02	
  8.400000000000e+01	  4.662150187401e-02	
  8.500000000000e+01	  4.495066243467e-02	
  8.600000000000e+01	  4.333970318622e-02	
  8.700000000000e+01	  4.178647811920e-02	
  8.800000000000e+01	  4.028891813365e-02	
  8.900000000000e+01	  3.884502828282e-02	
  9.000000000000e+01	  3.745288511565e-02	
  9.100000000000e+01	  3.611063411444e-02	
  9.200000000000e+01	  3.481648722443e-02	
  9.300000000000e+01	  3.356872047186e-02	
  9.400000000000e+01	  3.236567166738e-02	
  9.500000000000e+01	  3.120573819187e-02	
  9.600000000000e+01	  3.008737486146e-02	
  9.700000000000e+01	  2.900909186921e-02	
  9.800000000000e+01	  2.796945280041e-02	
  9.900000000000e+01	  2.696707271919e-02	
  1.000000000000e+02	  2.600061632351e-02	
