     Time(y)	    SOM4(mM)	     CO2(mM)	     NH3(mM)	
  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  1.0000e+00	  9.6416e-01	  3.5838e-02	  3.0715e-03	
  2.0000e+00	  9.2961e-01	  7.0391e-02	  6.0324e-03	
  3.0000e+00	  8.9629e-01	  1.0371e-01	  8.8868e-03	
  4.0000e+00	  8.6417e-01	  1.3583e-01	  1.1639e-02	
  5.0000e+00	  8.3320e-01	  1.6680e-01	  1.4292e-02	
  6.0000e+00	  8.0334e-01	  1.9666e-01	  1.6849e-02	
  7.0000e+00	  7.7455e-01	  2.2544e-01	  1.9315e-02	
  8.0000e+00	  7.4679e-01	  2.5320e-01	  2.1692e-02	
  9.0000e+00	  7.2003e-01	  2.7996e-01	  2.3984e-02	
  1.0000e+01	  6.9422e-01	  3.0577e-01	  2.6193e-02	
  1.1000e+01	  6.6934e-01	  3.3065e-01	  2.8324e-02	
  1.2000e+01	  6.4535e-01	  3.5463e-01	  3.0377e-02	
  1.3000e+01	  6.2223e-01	  3.7776e-01	  3.2357e-02	
  1.4000e+01	  5.9993e-01	  4.0006e-01	  3.4266e-02	
  1.5000e+01	  5.7843e-01	  4.2156e-01	  3.6107e-02	
  1.6000e+01	  5.5770e-01	  4.4229e-01	  3.7881e-02	
  1.7000e+01	  5.3771e-01	  4.6227e-01	  3.9592e-02	
  1.8000e+01	  5.1844e-01	  4.8154e-01	  4.1241e-02	
  1.9000e+01	  4.9986e-01	  5.0012e-01	  4.2832e-02	
  2.0000e+01	  4.8194e-01	  5.1803e-01	  4.4365e-02	
  2.1000e+01	  4.6467e-01	  5.3530e-01	  4.5843e-02	
  2.2000e+01	  4.4802e-01	  5.5196e-01	  4.7268e-02	
  2.3000e+01	  4.3196e-01	  5.6801e-01	  4.8642e-02	
  2.4000e+01	  4.1648e-01	  5.8349e-01	  4.9967e-02	
  2.5000e+01	  4.0156e-01	  5.9842e-01	  5.1244e-02	
  2.6000e+01	  3.8716e-01	  6.1281e-01	  5.2476e-02	
  2.7000e+01	  3.7329e-01	  6.2668e-01	  5.3663e-02	
  2.8000e+01	  3.5991e-01	  6.4006e-01	  5.4808e-02	
  2.9000e+01	  3.4701e-01	  6.5296e-01	  5.5911e-02	
  3.0000e+01	  3.3458e-01	  6.6539e-01	  5.6975e-02	
  3.1000e+01	  3.2259e-01	  6.7738e-01	  5.8001e-02	
  3.2000e+01	  3.1102e-01	  6.8894e-01	  5.8990e-02	
  3.3000e+01	  2.9988e-01	  7.0009e-01	  5.9944e-02	
  3.4000e+01	  2.8913e-01	  7.1083e-01	  6.0864e-02	
  3.5000e+01	  2.7877e-01	  7.2119e-01	  6.1750e-02	
  3.6000e+01	  2.6878e-01	  7.3118e-01	  6.2605e-02	
  3.7000e+01	  2.5915e-01	  7.4082e-01	  6.3429e-02	
  3.8000e+01	  2.4986e-01	  7.5010e-01	  6.4223e-02	
  3.9000e+01	  2.4090e-01	  7.5906e-01	  6.4989e-02	
  4.0000e+01	  2.3227e-01	  7.6769e-01	  6.5728e-02	
  4.1000e+01	  2.2395e-01	  7.7601e-01	  6.6440e-02	
  4.2000e+01	  2.1592e-01	  7.8404e-01	  6.7127e-02	
  4.3000e+01	  2.0818e-01	  7.9178e-01	  6.7789e-02	
  4.4000e+01	  2.0072e-01	  7.9924e-01	  6.8427e-02	
  4.5000e+01	  1.9353e-01	  8.0643e-01	  6.9042e-02	
  4.6000e+01	  1.8659e-01	  8.1336e-01	  6.9635e-02	
  4.7000e+01	  1.7990e-01	  8.2005e-01	  7.0207e-02	
  4.8000e+01	  1.7346e-01	  8.2650e-01	  7.0759e-02	
  4.9000e+01	  1.6724e-01	  8.3271e-01	  7.1291e-02	
  5.0000e+01	  1.6125e-01	  8.3871e-01	  7.1803e-02	
  5.1000e+01	  1.5547e-01	  8.4449e-01	  7.2298e-02	
  5.2000e+01	  1.4990e-01	  8.5006e-01	  7.2774e-02	
  5.3000e+01	  1.4452e-01	  8.5543e-01	  7.3234e-02	
  5.4000e+01	  1.3934e-01	  8.6061e-01	  7.3677e-02	
  5.5000e+01	  1.3435e-01	  8.6560e-01	  7.4104e-02	
  5.6000e+01	  1.2954e-01	  8.7042e-01	  7.4516e-02	
  5.7000e+01	  1.2489e-01	  8.7506e-01	  7.4913e-02	
  5.8000e+01	  1.2042e-01	  8.7953e-01	  7.5296e-02	
  5.9000e+01	  1.1610e-01	  8.8385e-01	  7.5665e-02	
  6.0000e+01	  1.1194e-01	  8.8801e-01	  7.6021e-02	
  6.1000e+01	  1.0793e-01	  8.9202e-01	  7.6364e-02	
  6.2000e+01	  1.0406e-01	  8.9589e-01	  7.6695e-02	
  6.3000e+01	  1.0033e-01	  8.9962e-01	  7.7014e-02	
  6.4000e+01	  9.6736e-02	  9.0321e-01	  7.7321e-02	
  6.5000e+01	  9.3269e-02	  9.0668e-01	  7.7618e-02	
  6.6000e+01	  8.9927e-02	  9.1002e-01	  7.7903e-02	
  6.7000e+01	  8.6704e-02	  9.1324e-01	  7.8179e-02	
  6.8000e+01	  8.3597e-02	  9.1635e-01	  7.8445e-02	
  6.9000e+01	  8.0601e-02	  9.1935e-01	  7.8701e-02	
  7.0000e+01	  7.7712e-02	  9.2224e-01	  7.8948e-02	
  7.1000e+01	  7.4927e-02	  9.2502e-01	  7.9186e-02	
  7.2000e+01	  7.2242e-02	  9.2771e-01	  7.9416e-02	
  7.3000e+01	  6.9653e-02	  9.3029e-01	  7.9637e-02	
  7.4000e+01	  6.7156e-02	  9.3279e-01	  7.9851e-02	
  7.5000e+01	  6.4750e-02	  9.3520e-01	  8.0057e-02	
  7.6000e+01	  6.2429e-02	  9.3752e-01	  8.0255e-02	
  7.7000e+01	  6.0192e-02	  9.3975e-01	  8.0447e-02	
  7.8000e+01	  5.8035e-02	  9.4191e-01	  8.0631e-02	
  7.9000e+01	  5.5955e-02	  9.4399e-01	  8.0809e-02	
  8.0000e+01	  5.3949e-02	  9.4600e-01	  8.0980e-02	
  8.1000e+01	  5.2016e-02	  9.4793e-01	  8.1146e-02	
  8.2000e+01	  5.0152e-02	  9.4979e-01	  8.1305e-02	
  8.3000e+01	  4.8354e-02	  9.5159e-01	  8.1459e-02	
  8.4000e+01	  4.6622e-02	  9.5332e-01	  8.1607e-02	
  8.5000e+01	  4.4951e-02	  9.5499e-01	  8.1750e-02	
  8.6000e+01	  4.3340e-02	  9.5660e-01	  8.1888e-02	
  8.7000e+01	  4.1786e-02	  9.5816e-01	  8.2021e-02	
  8.8000e+01	  4.0289e-02	  9.5966e-01	  8.2149e-02	
  8.9000e+01	  3.8845e-02	  9.6110e-01	  8.2272e-02	
  9.0000e+01	  3.7453e-02	  9.6249e-01	  8.2391e-02	
  9.1000e+01	  3.6111e-02	  9.6383e-01	  8.2506e-02	
  9.2000e+01	  3.4816e-02	  9.6513e-01	  8.2617e-02	
