     Time(d)	    SOM1(mM)	    SOM2(mM)	    SOM3(mM)	    SOM4(mM)	     CO2(mM)	     NH3(mM)	    TotC(mM)	
  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
  1.8250e+00	  8.7778e-01	  8.6850e-02	  6.1801e-04	  2.3488e-07	  3.4747e-02	  2.4719e-03	  1.0000e+00	
  3.6500e+00	  7.7051e-01	  1.6088e-01	  2.3475e-03	  1.8074e-06	  6.6263e-02	  4.6970e-03	  1.0000e+00	
  5.4750e+00	  6.7634e-01	  2.2372e-01	  5.0195e-03	  5.8709e-06	  9.4918e-02	  6.7042e-03	  1.0000e+00	
  7.3000e+00	  5.9368e-01	  2.7678e-01	  8.4865e-03	  1.3401e-05	  1.2104e-01	  8.5190e-03	  1.0000e+00	
  9.1250e+00	  5.2112e-01	  3.2132e-01	  1.2620e-02	  2.5216e-05	  1.4491e-01	  1.0164e-02	  1.0000e+00	
  1.0950e+01	  4.5743e-01	  3.5842e-01	  1.7308e-02	  4.2003e-05	  1.6679e-01	  1.1658e-02	  1.0000e+00	
  1.2775e+01	  4.0153e-01	  3.8906e-01	  2.2452e-02	  6.4327e-05	  1.8690e-01	  1.3019e-02	  1.0000e+00	
  1.4600e+01	  3.5245e-01	  4.1406e-01	  2.7968e-02	  9.2652e-05	  2.0542e-01	  1.4262e-02	  1.0000e+00	
  1.6425e+01	  3.0938e-01	  4.3416e-01	  3.3783e-02	  1.2735e-04	  2.2254e-01	  1.5401e-02	  1.0000e+00	
  1.8250e+01	  2.7157e-01	  4.5001e-01	  3.9831e-02	  1.6873e-04	  2.3841e-01	  1.6446e-02	  1.0000e+00	
  2.0075e+01	  2.3838e-01	  4.6218e-01	  4.6058e-02	  2.1701e-04	  2.5316e-01	  1.7409e-02	  9.9999e-01	
  2.1900e+01	  2.0925e-01	  4.7116e-01	  5.2415e-02	  2.7236e-04	  2.6690e-01	  1.8298e-02	  9.9999e-01	
  2.3725e+01	  1.8367e-01	  4.7737e-01	  5.8861e-02	  3.3491e-04	  2.7975e-01	  1.9122e-02	  9.9999e-01	
  2.5550e+01	  1.6122e-01	  4.8121e-01	  6.5361e-02	  4.0474e-04	  2.9179e-01	  1.9887e-02	  9.9999e-01	
  2.7375e+01	  1.4152e-01	  4.8301e-01	  7.1882e-02	  4.8188e-04	  3.0310e-01	  2.0601e-02	  9.9999e-01	
  2.9200e+01	  1.2422e-01	  4.8304e-01	  7.8400e-02	  5.6635e-04	  3.1376e-01	  2.1267e-02	  9.9999e-01	
  3.1025e+01	  1.0904e-01	  4.8157e-01	  8.4892e-02	  6.5812e-04	  3.2383e-01	  2.1891e-02	  9.9999e-01	
  3.2850e+01	  9.5716e-02	  4.7882e-01	  9.1337e-02	  7.5716e-04	  3.3336e-01	  2.2478e-02	  9.9999e-01	
  3.4675e+01	  8.4018e-02	  4.7499e-01	  9.7721e-02	  8.6340e-04	  3.4240e-01	  2.3031e-02	  9.9999e-01	
  3.6500e+01	  7.3749e-02	  4.7023e-01	  1.0403e-01	  9.7676e-04	  3.5101e-01	  2.3553e-02	  9.9999e-01	
  3.8325e+01	  6.4736e-02	  4.6470e-01	  1.1025e-01	  1.0971e-03	  3.5921e-01	  2.4048e-02	  9.9999e-01	
  4.0150e+01	  5.6824e-02	  4.5853e-01	  1.1637e-01	  1.2245e-03	  3.6703e-01	  2.4517e-02	  9.9999e-01	
  4.1975e+01	  4.9880e-02	  4.5183e-01	  1.2239e-01	  1.3586e-03	  3.7453e-01	  2.4964e-02	  9.9999e-01	
  4.3800e+01	  4.3784e-02	  4.4470e-01	  1.2830e-01	  1.4994e-03	  3.8171e-01	  2.5390e-02	  9.9999e-01	
  4.5625e+01	  3.8433e-02	  4.3722e-01	  1.3409e-01	  1.6468e-03	  3.8860e-01	  2.5797e-02	  9.9999e-01	
  4.7450e+01	  3.3735e-02	  4.2946e-01	  1.3977e-01	  1.8006e-03	  3.9523e-01	  2.6187e-02	  9.9999e-01	
  4.9275e+01	  2.9612e-02	  4.2150e-01	  1.4532e-01	  1.9606e-03	  4.0161e-01	  2.6561e-02	  9.9999e-01	
  5.1100e+01	  2.5993e-02	  4.1337e-01	  1.5074e-01	  2.1269e-03	  4.0776e-01	  2.6920e-02	  9.9999e-01	
  5.2925e+01	  2.2817e-02	  4.0514e-01	  1.5604e-01	  2.2991e-03	  4.1370e-01	  2.7266e-02	  9.9999e-01	
  5.4750e+01	  2.0028e-02	  3.9684e-01	  1.6120e-01	  2.4772e-03	  4.1944e-01	  2.7599e-02	  9.9999e-01	
  5.6575e+01	  1.7580e-02	  3.8851e-01	  1.6624e-01	  2.6610e-03	  4.2499e-01	  2.7921e-02	  9.9999e-01	
  5.8400e+01	  1.5432e-02	  3.8018e-01	  1.7116e-01	  2.8503e-03	  4.3037e-01	  2.8232e-02	  9.9999e-01	
  6.0225e+01	  1.3546e-02	  3.7187e-01	  1.7594e-01	  3.0451e-03	  4.3558e-01	  2.8533e-02	  9.9999e-01	
  6.2050e+01	  1.1890e-02	  3.6362e-01	  1.8060e-01	  3.2452e-03	  4.4064e-01	  2.8824e-02	  9.9999e-01	
  6.3875e+01	  1.0437e-02	  3.5542e-01	  1.8513e-01	  3.4503e-03	  4.4555e-01	  2.9107e-02	  9.9999e-01	
  6.5700e+01	  9.1615e-03	  3.4731e-01	  1.8954e-01	  3.6605e-03	  4.5032e-01	  2.9381e-02	  9.9999e-01	
  6.7525e+01	  8.0418e-03	  3.3929e-01	  1.9383e-01	  3.8756e-03	  4.5496e-01	  2.9648e-02	  9.9999e-01	
  6.9350e+01	  7.0590e-03	  3.3138e-01	  1.9799e-01	  4.0953e-03	  4.5946e-01	  2.9907e-02	  9.9999e-01	
  7.1175e+01	  6.1963e-03	  3.2359e-01	  2.0203e-01	  4.3196e-03	  4.6385e-01	  3.0159e-02	  9.9999e-01	
  7.3000e+01	  5.4390e-03	  3.1591e-01	  2.0596e-01	  4.5484e-03	  4.6813e-01	  3.0405e-02	  9.9999e-01	
  7.4825e+01	  4.7743e-03	  3.0837e-01	  2.0977e-01	  4.7815e-03	  4.7229e-01	  3.0644e-02	  9.9999e-01	
  7.6650e+01	  4.1908e-03	  3.0096e-01	  2.1347e-01	  5.0188e-03	  4.7635e-01	  3.0878e-02	  9.9999e-01	
  7.8475e+01	  3.6786e-03	  2.9369e-01	  2.1706e-01	  5.2601e-03	  4.8030e-01	  3.1105e-02	  9.9999e-01	
  8.0300e+01	  3.2290e-03	  2.8655e-01	  2.2054e-01	  5.5054e-03	  4.8416e-01	  3.1328e-02	  9.9999e-01	
  8.2125e+01	  2.8344e-03	  2.7956e-01	  2.2391e-01	  5.7544e-03	  4.8792e-01	  3.1544e-02	  9.9999e-01	
  8.3950e+01	  2.4880e-03	  2.7272e-01	  2.2718e-01	  6.0072e-03	  4.9160e-01	  3.1756e-02	  9.9999e-01	
  8.5775e+01	  2.1839e-03	  2.6601e-01	  2.3035e-01	  6.2635e-03	  4.9518e-01	  3.1963e-02	  9.9999e-01	
  8.7600e+01	  1.9170e-03	  2.5945e-01	  2.3341e-01	  6.5233e-03	  4.9868e-01	  3.2166e-02	  9.9999e-01	
  8.9425e+01	  1.6827e-03	  2.5303e-01	  2.3638e-01	  6.7865e-03	  5.0210e-01	  3.2363e-02	  9.9999e-01	
  9.1250e+01	  1.4771e-03	  2.4676e-01	  2.3926e-01	  7.0528e-03	  5.0544e-01	  3.2557e-02	  9.9999e-01	
  9.3075e+01	  1.2965e-03	  2.4063e-01	  2.4204e-01	  7.3223e-03	  5.0871e-01	  3.2746e-02	  9.9999e-01	
  9.4900e+01	  1.1381e-03	  2.3463e-01	  2.4473e-01	  7.5949e-03	  5.1190e-01	  3.2932e-02	  9.9999e-01	
  9.6725e+01	  9.9899e-04	  2.2878e-01	  2.4733e-01	  7.8703e-03	  5.1501e-01	  3.3113e-02	  9.9999e-01	
  9.8550e+01	  8.7690e-04	  2.2306e-01	  2.4984e-01	  8.1486e-03	  5.1806e-01	  3.3291e-02	  9.9999e-01	
  1.0038e+02	  7.6973e-04	  2.1748e-01	  2.5227e-01	  8.4297e-03	  5.2104e-01	  3.3465e-02	  9.9999e-01	
  1.0220e+02	  6.7566e-04	  2.1203e-01	  2.5462e-01	  8.7133e-03	  5.2396e-01	  3.3635e-02	  9.9999e-01	
  1.0402e+02	  5.9308e-04	  2.0670e-01	  2.5688e-01	  8.9995e-03	  5.2681e-01	  3.3802e-02	  9.9999e-01	
  1.0585e+02	  5.2060e-04	  2.0151e-01	  2.5907e-01	  9.2882e-03	  5.2960e-01	  3.3966e-02	  9.9999e-01	
  1.0767e+02	  4.5697e-04	  1.9644e-01	  2.6118e-01	  9.5792e-03	  5.3233e-01	  3.4127e-02	  9.9999e-01	
  1.0950e+02	  4.0112e-04	  1.9150e-01	  2.6322e-01	  9.8725e-03	  5.3500e-01	  3.4284e-02	  9.9999e-01	
  1.1133e+02	  3.5210e-04	  1.8667e-01	  2.6518e-01	  1.0168e-02	  5.3761e-01	  3.4438e-02	  9.9999e-01	
  1.1315e+02	  3.0907e-04	  1.8197e-01	  2.6707e-01	  1.0466e-02	  5.4017e-01	  3.4590e-02	  9.9999e-01	
  1.1498e+02	  2.7129e-04	  1.7738e-01	  2.6890e-01	  1.0765e-02	  5.4268e-01	  3.4738e-02	  9.9999e-01	
  1.1680e+02	  2.3814e-04	  1.7290e-01	  2.7065e-01	  1.1067e-02	  5.4513e-01	  3.4884e-02	  9.9999e-01	
  1.1862e+02	  2.0903e-04	  1.6853e-01	  2.7234e-01	  1.1370e-02	  5.4753e-01	  3.5027e-02	  9.9999e-01	
  1.2045e+02	  1.8349e-04	  1.6427e-01	  2.7397e-01	  1.1676e-02	  5.4989e-01	  3.5167e-02	  9.9999e-01	
  1.2227e+02	  1.6106e-04	  1.6012e-01	  2.7553e-01	  1.1983e-02	  5.5219e-01	  3.5305e-02	  9.9999e-01	
  1.2410e+02	  1.4138e-04	  1.5607e-01	  2.7703e-01	  1.2291e-02	  5.5445e-01	  3.5440e-02	  9.9999e-01	
  1.2592e+02	  1.2410e-04	  1.5213e-01	  2.7848e-01	  1.2602e-02	  5.5666e-01	  3.5573e-02	  9.9999e-01	
  1.2775e+02	  1.0893e-04	  1.4828e-01	  2.7986e-01	  1.2914e-02	  5.5882e-01	  3.5703e-02	  9.9999e-01	
  1.2958e+02	  9.5619e-05	  1.4452e-01	  2.8120e-01	  1.3227e-02	  5.6095e-01	  3.5831e-02	  9.9999e-01	
  1.3140e+02	  8.3933e-05	  1.4086e-01	  2.8247e-01	  1.3542e-02	  5.6303e-01	  3.5957e-02	  9.9999e-01	
  1.3322e+02	  7.3675e-05	  1.3730e-01	  2.8369e-01	  1.3858e-02	  5.6507e-01	  3.6080e-02	  9.9999e-01	
  1.3505e+02	  6.4671e-05	  1.3382e-01	  2.8486e-01	  1.4175e-02	  5.6706e-01	  3.6201e-02	  9.9999e-01	
  1.3688e+02	  5.6767e-05	  1.3043e-01	  2.8598e-01	  1.4494e-02	  5.6902e-01	  3.6321e-02	  9.9999e-01	
  1.3870e+02	  4.9829e-05	  1.2713e-01	  2.8705e-01	  1.4813e-02	  5.7094e-01	  3.6438e-02	  9.9999e-01	
  1.4053e+02	  4.3739e-05	  1.2390e-01	  2.8808e-01	  1.5134e-02	  5.7283e-01	  3.6553e-02	  9.9999e-01	
  1.4235e+02	  3.8394e-05	  1.2076e-01	  2.8905e-01	  1.5456e-02	  5.7468e-01	  3.6667e-02	  9.9999e-01	
  1.4417e+02	  3.3701e-05	  1.1770e-01	  2.8998e-01	  1.5779e-02	  5.7649e-01	  3.6778e-02	  9.9999e-01	
  1.4600e+02	  2.9583e-05	  1.1472e-01	  2.9087e-01	  1.6103e-02	  5.7826e-01	  3.6887e-02	  9.9999e-01	
  1.4783e+02	  2.5967e-05	  1.1181e-01	  2.9171e-01	  1.6428e-02	  5.8001e-01	  3.6995e-02	  9.9999e-01	
  1.4965e+02	  2.2794e-05	  1.0898e-01	  2.9251e-01	  1.6754e-02	  5.8172e-01	  3.7101e-02	  9.9999e-01	
  1.5147e+02	  2.0008e-05	  1.0621e-01	  2.9328e-01	  1.7080e-02	  5.8340e-01	  3.7205e-02	  9.9999e-01	
  1.5330e+02	  1.7563e-05	  1.0352e-01	  2.9400e-01	  1.7408e-02	  5.8505e-01	  3.7308e-02	  9.9999e-01	
  1.5512e+02	  1.5416e-05	  1.0089e-01	  2.9468e-01	  1.7736e-02	  5.8666e-01	  3.7409e-02	  9.9999e-01	
  1.5695e+02	  1.3532e-05	  9.8335e-02	  2.9532e-01	  1.8064e-02	  5.8825e-01	  3.7508e-02	  9.9999e-01	
  1.5878e+02	  1.1878e-05	  9.5841e-02	  2.9593e-01	  1.8394e-02	  5.8981e-01	  3.7606e-02	  9.9999e-01	
  1.6060e+02	  1.0427e-05	  9.3410e-02	  2.9650e-01	  1.8724e-02	  5.9134e-01	  3.7702e-02	  9.9999e-01	
  1.6242e+02	  9.1522e-06	  9.1041e-02	  2.9704e-01	  1.9054e-02	  5.9284e-01	  3.7797e-02	  9.9999e-01	
  1.6425e+02	  8.0337e-06	  8.8732e-02	  2.9755e-01	  1.9385e-02	  5.9431e-01	  3.7891e-02	  9.9999e-01	
  1.6608e+02	  7.0519e-06	  8.6481e-02	  2.9802e-01	  1.9717e-02	  5.9576e-01	  3.7982e-02	  9.9999e-01	
